ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB
4986,-1154,11145,12581,13455,13329,9152,0.83,0.94
4986,-1157,11060,12812,13444,13596,9147,0.82,0.94
4987,-1149,11167,12828,13551,13606,9147,0.82,0.94
4987,-1146,11191,12710,13513,13472,9143,0.83,0.94
4987,-1147,11135,12754,13510,13524,9117,0.82,0.94
4988,-1139,11235,12774,13569,13544,9091,0.83,0.94
4987,-1141,11223,12798,13562,13575,9071,0.83,0.94
4989,-1127,11165,12759,13515,13537,9071,0.83,0.94
4988,-1140,11131,12820,13512,13597,9077,0.82,0.94
4988,-1146,11082,12830,13456,13598,9112,0.82,0.94
4988,-1148,11068,12859,13517,13635,9147,0.82,0.94
4989,-1127,11230,12710,13559,13475,9175,0.83,0.94
4989,-1150,11215,12793,13575,13568,9175,0.83,0.94
4989,-1121,11237,12695,13561,13452,9173,0.83,0.94
4989,-1165,11221,12573,13543,13322,9169,0.83,0.94
4989,-1138,11243,12759,13581,13520,9164,0.83,0.94
4990,-1137,11098,12905,13505,13683,9161,0.82,0.94
4990,-1125,11171,12726,13501,13498,9161,0.83,0.94
4990,-1137,11226,12796,13582,13567,9164,0.83,0.94
4989,-1150,11090,12466,13527,13205,9169,0.82,0.94
4990,-1132,11017,12652,13292,13406,9175,0.83,0.94
4990,-1160,10688,12744,13061,13507,9178,0.82,0.94
4989,-1123,11005,12900,13291,13679,9178,0.83,0.94
4990,-1124,11154,12746,13514,13509,9174,0.83,0.94
4990,-1133,11178,12764,13544,13525,9167,0.83,0.94
4990,-1127,11239,12587,13563,13352,9160,0.83,0.94
4990,-1154,11027,12394,13456,13131,9158,0.82,0.94
4990,-1132,11012,12790,13319,13564,9158,0.83,0.94
4990,-1137,11116,12858,13517,13640,9158,0.82,0.94
4990,-1157,11202,12587,13517,13335,9160,0.83,0.94
4990,-1147,11176,12743,13536,13510,9161,0.83,0.94
4990,-1145,11055,12849,13457,13629,9162,0.82,0.94
4991,-1179,11071,12794,13481,13565,9161,0.82,0.94
4991,-1130,11168,12841,13541,13619,9158,0.82,0.94
4991,-1132,11168,12811,13503,13581,9154,0.83,0.94
4990,-1132,11101,12776,13465,13545,9150,0.82,0.94
4990,-1132,11143,12764,13479,13534,9149,0.83,0.94
4991,-1118,11212,12713,13549,13471,9149,0.83,0.94
4990,-1138,11233,12790,13572,13567,9152,0.83,0.94
4991,-1130,11213,12593,13534,13333,9156,0.83,0.94
4991,-1129,11187,12758,13494,13530,9160,0.83,0.94
4991,-1142,11202,12794,13559,13571,9161,0.83,0.94
4991,-1124,11215,12751,13530,13521,9160,0.83,0.94
4991,-1126,11213,12728,13551,13494,9166,0.83,0.94
4991,-1150,11180,12836,13540,13616,9172,0.83,0.94
4991,-1164,11235,12603,13552,13354,9178,0.83,0.94
4991,-1152,11198,12764,13585,13542,9177,0.82,0.94
4991,-1133,11241,12634,13564,13381,9176,0.83,0.94
4991,-1134,11199,12794,13540,13565,9171,0.83,0.94
4991,-1135,11175,12793,13501,13569,9165,0.83,0.94
4991,-1136,11192,12799,13560,13575,9159,0.83,0.94
4992,-1125,11235,12688,13549,13447,9159,0.83,0.94
4991,-1154,11241,12612,13565,13360,9158,0.83,0.94
4992,-1159,11202,12715,13541,13476,9155,0.83,0.94
4991,-1139,11198,12763,13557,13530,9152,0.83,0.94
4992,-1125,11142,12806,13492,13582,9150,0.83,0.94
4991,-1148,11157,12837,13555,13619,9149,0.82,0.94
4991,-1152,11157,12829,13566,13605,9151,0.82,0.94
4991,-1132,11204,12770,13553,13540,9155,0.83,0.94
4992,-1129,11109,12762,13449,13536,9159,0.83,0.94
4992,-1138,10697,12758,13074,13533,9161,0.82,0.94
4991,-1127,11224,12880,13556,13657,9161,0.83,0.94
4992,-1129,11228,12580,13554,13323,9163,0.83,0.94
4991,-1127,11237,12716,13556,13484,9168,0.83,0.94
4992,-1157,11223,12701,13567,13475,9173,0.83,0.94
4992,-1179,11097,12215,13498,12940,9175,0.82,0.94
4992,-1138,11111,12834,13441,13609,9175,0.83,0.94
4992,-1148,11230,12719,13560,13488,9173,0.83,0.94
4992,-1142,11144,12798,13514,13567,9170,0.82,0.94
4992,-1153,11234,12751,13594,13518,9166,0.83,0.94
4992,-1124,11166,12778,13500,13552,9164,0.83,0.94
4992,-1132,11185,12578,13495,13329,9164,0.83,0.94
4992,-1137,11160,12779,13503,13555,9164,0.83,0.94
4992,-1170,11106,12870,13521,13649,9163,0.82,0.94
4992,-1164,11130,12810,13550,13576,9161,0.82,0.94
4993,-1157,11171,12631,13472,13381,9161,0.83,0.94
4992,-1131,11189,12659,13499,13408,9163,0.83,0.94
4993,-1156,11093,12339,13517,13068,9172,0.82,0.94
4993,-1132,10955,12787,13277,13559,9181,0.83,0.94
4993,-1146,11190,12611,13523,13354,9188,0.83,0.94
4993,-1154,11207,12733,13569,13508,9188,0.83,0.94
4992,-1148,11242,12742,13584,13512,9185,0.83,0.94
4993,-1148,11150,12794,13546,13564,9181,0.82,0.94
4993,-1146,11081,12722,13417,13487,9177,0.83,0.94
4993,-1138,11203,12659,13509,13411,9176,0.83,0.94
4994,-1121,11065,12879,13443,13655,9175,0.82,0.94
4994,-1146,11160,12810,13480,13584,9173,0.83,0.94
4994,-1134,11204,12739,13539,13509,9171,0.83,0.94
4994,-1143,11217,12689,13540,13438,9170,0.83,0.94
4994,-1153,11187,12743,13525,13507,9169,0.83,0.94
4995,-1141,11221,12573,13539,13317,9166,0.83,0.94
4995,-1163,11077,12489,13504,13231,9159,0.82,0.94
4995,-1146,11243,12695,13561,13452,9153,0.83,0.94
4996,-1147,11117,12814,13536,13592,9151,0.82,0.94
4996,-1155,11141,12754,13521,13518,9151,0.82,0.94
4996,-1127,10968,12827,13309,13604,9159,0.82,0.94
4996,-1128,11235,12663,13556,13424,9168,0.83,0.94
4996,-1154,11041,12499,13463,13246,9176,0.82,0.94
4997,-1133,11240,12683,13560,13441,9176,0.83,0.94
4997,-1145,11216,12588,13530,13332,9174,0.83,0.94
4997,-1132,11205,12761,13561,13534,9171,0.83,0.94
4997,-1132,11091,12814,13477,13588,9167,0.82,0.94
4998,-1147,11190,12785,13534,13554,9166,0.83,0.94
4998,-1164,11064,12883,13483,13667,9166,0.82,0.94
4999,-1136,11120,12847,13491,13620,9167,0.82,0.94
4999,-1127,11240,12621,13551,13369,9168,0.83,0.94
4999,-1126,11234,12762,13577,13529,9169,0.83,0.94
4999,-1127,11182,12482,13492,13221,9169,0.83,0.94
5000,-1142,11041,12815,13355,13582,9170,0.83,0.94
5000,-1145,11237,12564,13559,13304,9173,0.83,0.94
5001,-1143,11186,12820,13570,13592,9177,0.82,0.94
5001,-1134,11172,12829,13529,13600,9179,0.83,0.94
5002,-1130,11212,12865,13588,13642,9179,0.83,0.94
5002,-1139,11190,12847,13558,13623,9184,0.83,0.94
5002,-1152,11108,12806,13517,13572,9189,0.82,0.94
5003,-1152,11157,12818,13518,13586,9195,0.83,0.94
