ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,FBprime,Fbprime/NB,NSCprime
4065,-1026,10820,12275,13365,13414,2950,0.81,0.92,10599.2,0.790159535,198.4046519
4065,-1020,10786,12306,13346,13448,2950,0.81,0.92,10640.4,0.791225461,187.7453896
4065,-1014,10767,12311,13297,13447,2950,0.81,0.92,10645.1,0.791633822,183.6617833
4065,-1033,10804,12285,13365,13419,2951,0.81,0.92,10610.7,0.79072211,192.7788956
4065,-1013,10828,12299,13351,13426,2951,0.81,0.92,10626.8,0.791509012,184.9098764
4065,-1021,10660,12354,13187,13496,2951,0.81,0.92,10702.8,0.793034973,169.6502667
4065,-1043,10776,12301,13268,13437,2952,0.81,0.92,10632.1,0.791255489,187.4451142
4065,-1020,10817,12390,13323,13533,2954,0.81,0.92,10749.9,0.794347151,156.5284859
4066,-1039,10738,12138,13332,13253,2957,0.81,0.92,10413.9,0.785776805,242.2319475
4065,-1025,10818,12069,13322,13182,2958,0.81,0.92,10323.6,0.783158853,268.4114702
4065,-1027,10851,12083,13365,13191,2958,0.81,0.92,10340.3,0.783890531,261.0946858
4065,-1019,10745,12299,13309,13448,2958,0.81,0.91,10633.4,0.790704938,192.9506246
4065,-1014,10782,12227,13270,13360,2958,0.81,0.92,10535,0.788547904,214.5209581
4065,-1018,10740,12281,13288,13416,2958,0.81,0.92,10605.8,0.790533691,194.6630888
4065,-1028,10816,12036,13319,13132,2958,0.81,0.92,10275.6,0.782485532,275.1446847
4065,-1038,10868,12119,13380,13226,2958,0.81,0.92,10386.8,0.785331922,246.6807803
4065,-1014,10814,12303,13384,13436,2956,0.81,0.92,10633.8,0.791440905,185.5909497
4065,-1049,10806,12068,13305,13175,2954,0.81,0.92,10320.5,0.783339658,266.6034156
4065,-1024,10874,12063,13386,13170,2951,0.81,0.92,10314,0.783143508,268.5649203
4065,-1028,10736,12339,13359,13480,2950,0.8,0.92,10683,0.792507418,74.92581602
4064,-1023,10799,12273,13302,13408,2950,0.81,0.92,10595.4,0.790229714,197.702864
4065,-1025,10844,12265,13351,13395,2947,0.81,0.92,10583.5,0.790108249,198.9175065
4065,-1019,10831,12313,13370,13451,2944,0.81,0.92,10648.3,0.79163631,183.6369043
4065,-1018,10801,12307,13340,13446,2941,0.81,0.92,10640.8,0.791372899,186.27101
4065,-1019,10843,12246,13374,13373,2940,0.81,0.92,10557.9,0.789493756,205.0624392
4065,-1042,10831,12050,13342,13151,2940,0.81,0.92,10295.3,0.782853015,271.4698502
4065,-1016,10840,12196,13353,13317,2945,0.81,0.92,10491.1,0.787797552,222.02448
4065,-1006,10843,12207,13383,13326,2951,0.81,0.92,10504.8,0.788293561,217.0643854
4065,-1032,10861,12114,13369,13224,2957,0.81,0.92,10381.2,0.785027223,249.7277677
4065,-1055,10762,12295,13326,13432,2958,0.81,0.92,10624.6,0.790991662,190.083383
4065,-1019,10790,12239,13343,13361,2958,0.81,0.92,10547.3,0.789409475,205.9052466
4065,-1020,10731,12358,13318,13503,2954,0.81,0.92,10708.9,0.793075613,169.2438717
4065,-1036,10815,12250,13332,13381,2949,0.81,0.92,10564.3,0.789500037,204.9996263
4065,-1074,10731,12288,13325,13426,2945,0.81,0.92,10615.8,0.790689707,193.1029346
4065,-1017,10804,12289,13369,13421,2945,0.81,0.92,10615.3,0.790947023,190.5297668
4065,-1019,10783,12202,13277,13323,2945,0.81,0.92,10498.9,0.788028222,219.7177813
4065,-1062,10801,12277,13351,13413,2947,0.81,0.92,10600.9,0.790345188,196.548125
4065,-1027,10840,12142,13344,13260,2949,0.81,0.92,10420,0.785822021,241.7797888
4065,-1033,10744,12320,13353,13461,2950,0.8,0.92,10658.3,0.7917911,82.08899785
4065,-1031,10811,12322,13338,13451,2950,0.81,0.92,10657.3,0.792305405,176.945952
4065,-1023,10717,12268,13230,13402,2950,0.81,0.92,10588.6,0.790076108,199.2389196
4065,-1015,10535,12315,12970,13459,2949,0.81,0.92,10652.7,0.791492681,185.0731852
4065,-1028,10767,12312,13310,13453,2948,0.81,0.92,10647.9,0.791488887,185.1111276
4065,-1035,10667,12316,13282,13459,2947,0.8,0.92,10653.7,0.791566981,84.33018798
4065,-1036,10852,12167,13359,13288,2947,0.81,0.92,10453.4,0.786679711,233.2028898
4065,-1024,10858,12137,13367,13255,2947,0.81,0.92,10413.5,0.785628065,243.7193512
4065,-1014,10830,12138,13331,13261,2947,0.81,0.92,10416.3,0.785483749,245.1625066
4065,-1018,10625,12206,13081,13334,2947,0.81,0.92,10506.2,0.787925604,220.7439628
4065,-1033,10854,12052,13359,13148,2948,0.81,0.92,10296.4,0.783115303,268.8469729
4065,-1021,10852,12018,13361,13115,2948,0.81,0.92,10252.5,0.781738467,282.615326
4065,-1041,10730,12296,13287,13433,2947,0.81,0.92,10625.9,0.791029554,189.7044592
4065,-1016,10817,12273,13358,13403,2945,0.81,0.92,10593.9,0.790412594,195.874058
4065,-1025,10806,12287,13360,13422,2944,0.81,0.92,10613.6,0.790761436,192.3856355
4065,-1061,10720,12296,13312,13427,2944,0.81,0.92,10624.1,0.791248976,187.5102406
4065,-1037,10851,12051,13365,13153,2944,0.81,0.92,10296.9,0.782855622,271.4437771
