ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,FBprime,Fbprime/NB,NSCprime
4065,-1404,9780,11748,12031,12292,2924,0.81,0.96,9735.6,0.792027335,179.7266515
4065,-1411,9784,11815,12135,12359,2922,0.81,0.96,9822.7,0.794781131,152.1886884
4065,-1390,9895,11760,12176,12293,2922,0.81,0.96,9747.9,0.792963475,170.3652485
4065,-1416,9734,11857,12086,12400,2923,0.81,0.96,9877,0.796532258,134.6774194
4065,-1405,9818,11616,12186,12148,2922,0.81,0.96,9560.4,0.786993744,230.0625617
4065,-1414,9795,11445,12151,11971,2922,0.81,0.96,9336.3,0.779909782,300.9021803
4065,-1424,9558,11267,11902,11772,2922,0.8,0.96,9098.6,0.772901801,270.9819912
4065,-1382,9883,11811,12184,12350,2922,0.81,0.96,9816,0.794817814,151.8218623
4065,-1418,9863,11774,12173,12323,2921,0.81,0.96,9770.9,0.792899456,171.005437
4065,-1392,9903,11756,12157,12294,2920,0.81,0.96,9744.2,0.792598015,174.0198471
4065,-1396,9827,11788,12138,12330,2919,0.81,0.96,9787,0.793755069,162.4493106
4065,-1387,9900,11810,12171,12352,2919,0.81,0.96,9815.6,0.794656736,153.4326425
4065,-1391,9867,11785,12160,12324,2921,0.81,0.96,9782.2,0.793752029,162.4797144
4065,-1389,9939,11796,12234,12337,2927,0.81,0.96,9797.1,0.794123369,158.7663127
4065,-1405,9814,11752,12089,12287,2933,0.81,0.96,9738.1,0.792553105,174.4689509
4065,-1439,9982,11528,12238,12053,2938,0.82,0.96,9443.9,0.783531071,364.689289
4065,-1410,9889,11754,12156,12290,2938,0.81,0.96,9741,0.792595606,174.0439382
4065,-1386,9800,11780,12060,12320,2938,0.81,0.96,9776,0.793506494,164.9350649
4065,-1389,9851,11772,12145,12323,2937,0.81,0.96,9768.9,0.792737158,172.6284184
4065,-1427,9947,11629,12192,12154,2937,0.82,0.96,9575.2,0.787822939,321.7706105
4065,-1392,9946,11764,12211,12302,2937,0.81,0.96,9754.6,0.792927979,170.7202081
4065,-1394,9911,11786,12184,12327,2937,0.81,0.96,9784.1,0.793712988,162.8701225
4065,-1386,9960,11702,12226,12235,2934,0.81,0.96,9672.5,0.790559869,194.4013077
4065,-1398,9901,11763,12197,12296,2928,0.81,0.96,9751.8,0.793087183,169.1281718
4065,-1396,9916,11792,12209,12331,2921,0.81,0.96,9791.3,0.794039413,159.6058714
4065,-1405,9870,11794,12204,12333,2918,0.81,0.96,9793.9,0.794121463,158.7853726
4065,-1401,9807,11785,12148,12331,2917,0.81,0.96,9784.3,0.793471738,165.282621
4065,-1408,9894,11695,12155,12226,2918,0.81,0.96,9662.8,0.790348438,196.5156224
4065,-1400,9865,11802,12165,12348,2918,0.81,0.96,9806.4,0.794169096,158.3090379
4065,-1381,9920,11744,12189,12283,2919,0.81,0.96,9728.9,0.7920622,179.3780021
4065,-1402,9818,11779,12180,12322,2919,0.81,0.96,9775.6,0.793345236,166.5476384
4065,-1389,9907,11610,12139,12143,2919,0.82,0.96,9552.9,0.786700156,332.9984353
4065,-1392,9732,11688,11939,12219,2916,0.82,0.96,9653.7,0.790056469,299.4353057
4065,-1395,9803,11825,12167,12371,2912,0.81,0.96,9836.3,0.79510953,148.9046965
4065,-1408,9732,11829,12089,12372,2908,0.81,0.96,9840.6,0.795392823,146.071775
4065,-1408,9776,11719,12117,12256,2907,0.81,0.96,9695.8,0.791106397,188.9360313
4065,-1392,9958,11706,12211,12243,2908,0.82,0.96,9678.9,0.790566038,294.3396226
4065,-1408,9787,11548,12135,12076,2914,0.81,0.96,9470.8,0.784266313,257.3368665
4065,-1404,9829,11856,12168,12397,2923,0.81,0.96,9875.1,0.796571751,134.2824877
4066,-1413,9849,11786,12139,12329,2930,0.81,0.96,9784.7,0.793632898,163.6710195
4065,-1410,9925,11752,12176,12296,2932,0.82,0.96,9740.8,0.792192583,278.0741705
4065,-1405,9945,11731,12202,12268,2932,0.82,0.96,9711.4,0.791604173,283.9582654
4065,-1414,9830,11737,12134,12274,2933,0.81,0.96,9719.2,0.791852697,181.4730324
4065,-1399,9968,11531,12219,12058,2934,0.82,0.96,9448.4,0.783579366,364.206336
4065,-1394,9980,11635,12233,12168,2935,0.82,0.96,9585.4,0.787754767,322.452334
4065,-1395,9894,11852,12236,12391,2935,0.81,0.96,9869.3,0.796489387,135.1061254
4065,-1409,9972,11586,12219,12109,2934,0.82,0.96,9518.7,0.78608473,339.1526963
4065,-1405,9908,11755,12154,12292,2930,0.82,0.96,9742.6,0.792596811,274.0318907
4065,-1403,9835,11824,12182,12375,2926,0.81,0.96,9836.5,0.794868687,151.3131313
4065,-1389,9845,11766,12171,12305,2923,0.81,0.96,9757.5,0.792970337,170.2966274
4065,-1382,9911,11669,12157,12201,2923,0.82,0.96,9629.3,0.789222195,307.778051
4065,-1397,9874,11811,12203,12354,2923,0.81,0.96,9817.2,0.794657601,153.4239922
4065,-1403,9939,11655,12181,12186,2923,0.82,0.96,9610.8,0.788675529,313.244707
4065,-1395,9888,11705,12134,12235,2925,0.81,0.96,9675.5,0.790805067,191.9493257
4065,-1397,9947,11747,12229,12286,2925,0.81,0.96,9732.8,0.792186228,178.1377177
4065,-1390,9955,11783,12219,12325,2925,0.81,0.96,9780.5,0.793549696,164.5030426
4065,-1391,9946,11691,12212,12227,2926,0.81,0.96,9659.1,0.789981189,200.1881083
4065,-1388,9950,11683,12193,12213,2929,0.82,0.96,9646.9,0.789887824,301.1217555
4065,-1390,9922,11776,12210,12322,2932,0.81,0.96,9772.6,0.793101769,168.9823081
4065,-1396,9847,11831,12167,12369,2933,0.81,0.96,9841.7,0.795674671,143.2532945
4065,-1397,9952,11540,12196,12065,2933,0.82,0.96,9459.5,0.784044758,359.5524244
4065,-1386,9954,11667,12195,12195,2932,0.82,0.96,9625.5,0.789298893,307.0110701
4065,-1404,9906,11762,12195,12305,2931,0.81,0.96,9753.5,0.792645266,173.5473385
4065,-1395,9922,11581,12159,12107,2928,0.82,0.96,9513.1,0.785752044,342.4795573
4065,-1376,10040,11637,12301,12170,2927,0.82,0.96,9588,0.787838948,321.6105177
4065,-1400,9840,11534,12062,12058,2927,0.82,0.96,9451.4,0.783828164,361.7183613
4065,-1422,9812,11243,12120,11749,2925,0.81,0.96,9067.7,0.771784833,382.1516725
4068,-1407,9746,11418,12095,11935,2921,0.81,0.96,9298.5,0.779095098,309.0490155
4095,-1394,9970,11647,12201,12172,2916,0.82,0.96,9598.6,0.788580348,314.1965166
4147,-1416,9815,11641,12115,12115,2914,0.81,0.96,9575.5,0.790383822,196.1617829
4226,-1414,10015,11885,12208,12278,2914,0.82,0.97,9868.4,0.803746539,162.5346148
4309,-1490,9841,12016,12025,12389,2915,0.82,0.97,10032.7,0.809807087,101.9291307
4391,-1468,10060,11997,12292,12391,2916,0.82,0.97,10014.3,0.808191429,118.0857074
4466,-1442,10176,11831,12346,12205,2917,0.82,0.97,9792.5,0.802335109,176.6489144
4533,-1458,10136,12027,12320,12368,2917,0.82,0.97,10037.4,0.811562096,84.37904269
