ECS,NSC,FA,FB,NA,NB,OM,FA/NA,FB/NB,Fbprime,Fbprime/NB,NSCprime
6666,-2633,8638,11822,10275,10738,9717,0.84,1.1,6990.803,0.651033991,1889.660086
6666,-2627,8589,11929,10248,10837,9714,0.84,1.1,7102.1095,0.655357525,1846.424749
6666,-2644,8638,11806,10272,10717,9712,0.84,1.1,6973.8895,0.650731501,1892.684986
6666,-2638,8640,11939,10285,10845,9712,0.84,1.1,7112.4575,0.655828262,1841.717381
6666,-2618,8673,11675,10293,10593,9717,0.84,1.1,6837.4955,0.645473001,1945.26999
6666,-2616,8645,11888,10267,10795,9724,0.84,1.1,7059.2825,0.653940019,1860.599815
6666,-2636,8567,11642,10268,10568,9731,0.83,1.1,6803.408,0.643774413,1862.255867
6666,-2628,8686,11833,10309,10760,9732,0.84,1.1,7002.76,0.650814126,1891.858736
6666,-2625,8639,11829,10243,10750,9732,0.84,1.1,6998.325,0.651006977,1889.930233
6666,-2636,8562,11912,10234,10827,9727,0.84,1.1,7084.6745,0.654352498,1856.475016
6666,-2619,8339,11864,9890,10775,9721,0.84,1.1,7034.4125,0.652845708,1871.542923
6666,-2628,8579,11389,10247,10349,9714,0.84,1.1,6540.8815,0.632030293,2079.697072
6663,-2715,8478,11898,10232,10692,9713,0.83,1.11,7064.802,0.660755892,1692.441077
6640,-3744,7581,12860,10261,10796,9713,0.74,1.19,8031.326,0.743916821,-39.16821045
6596,-6672,5447,14844,10186,10841,9717,0.53,1.37,10017.2835,0.924018402,-3940.184024
6525,-9815,4588,15499,10272,10837,9721,0.45,1.43,10672.1095,0.984784488,-5347.844883
6429,-6614,7682,12396,10256,10820,9724,0.75,1.15,7568.37,0.699479667,505.2033272
6310,-3515,7269,12497,10236,10633,9725,0.71,1.18,7661.2355,0.720514953,-105.1495345
6176,-5279,7414,12606,10225,10703,9724,0.73,1.18,7773.2805,0.726271186,37.28814351
6039,-4034,7383,12560,10218,10754,9718,0.72,1.17,7729.499,0.718755719,12.44281198
5908,-5091,6935,12629,9903,10532,9712,0.7,1.2,7788.842,0.739540638,-395.4063806
